Data File,Optimal Proift
t10_01,1.76214
t10_02,1.31778
t10_03,1.23058
t10_04,0.79174
t10_05,1.42076
t10_06,1.63532
t10_07,1.50894
t10_08,1.32678
t10_09,1.37084
t10_10,0.91972
t20_01,1.65874
t20_02,1.61320
t20_03,1.61530
t20_04,1.81528
t20_05,1.77702
t20_06,1.77340
t20_07,1.68558
t20_08,1.94288
t20_09,1.68794
t20_10,1.66976
t30_01,1.75576
t30_02,1.76158
t30_03,1.72974
t30_04,1.89554
t30_05,1.72964
t30_06,1.76224
t30_07,1.77678
t30_08,1.65434
t30_09,1.64152
t30_10,1.67608
t40_01,1.55192
t40_02,1.36283
t40_03,1.59519
t40_04,1.69155
t40_05,1.69395
t40_06,1.66352
t40_07,1.47887
t40_08,1.49914
t40_09,1.45319
t40_10,1.63109
t50_01,1.86315
t50_02,1.82456
t50_03,1.87558
t50_04,1.97310
t50_05,1.77176
t50_06,1.92162
t50_07,1.86842
t50_08,1.79938
t50_09,1.83202
t50_10,1.83838
t60_01,1.9411222
t60_02,1.89862
t60_03,1.8608388
t60_04,1.928323
t60_05,1.8470248
t60_06,1.9389642
t60_07,1.772803
t60_08,1.8856282
t60_09,1.8543142
t60_10,1.9684246
t70_01,1.882262
t70_02,1.944
t70_03,1.8882498
t70_04,1.90455
t70_05,1.8954476
t70_06,1.9201386
t70_07,1.89167
t70_08,1.9656782
t70_09,1.9230848
t70_10,1.92505
t80_01,1.963998
t80_02,1.9660462
t80_03,1.9850448
t80_04,1.9130162
t80_05,1.9334246
t80_06,1.913407
t80_07,1.951985
t80_08,1.8317446
t80_09,1.8642874
t80_10,1.8848
t100_01,1.93123
t100_02,1.95309
t100_03,1.95065
t100_04,1.96054
t100_05,1.93982
t100_06,1.93727
t100_07,1.91741
t100_08,1.93138
t100_09,1.92646
t100_10,1.9771
t150_01,1.80632
t150_02,1.91999
t150_03,1.83603
t150_04,1.73528
t150_05,1.93291
t150_06,1.84961
t150_07,1.81619
t150_08,1.79733
t150_09,1.85561
t150_10,1.6798
